"day.text","day.href","desc.text","desc.source","desc.alt","precip","high","low"
"1","http://www.wunderground.com/history/airport/KSFO/2012/1/1/DailyHistory.html","",,"Scattered Clouds","0.00","58°","43°"
"2","http://www.wunderground.com/history/airport/KSFO/2012/1/2/DailyHistory.html","",,"Partly Cloudy","0.00","55°","45°"
"3","http://www.wunderground.com/history/airport/KSFO/2012/1/3/DailyHistory.html","",,"Fog","0.00","53°","48°"
"4","http://www.wunderground.com/history/airport/KSFO/2012/1/4/DailyHistory.html","",,"Partly Cloudy","0.00","57°","43°"
"5","http://www.wunderground.com/history/airport/KSFO/2012/1/5/DailyHistory.html","",,"Scattered Clouds","0.00","61°","43°"
"6","http://www.wunderground.com/history/airport/KSFO/2012/1/6/DailyHistory.html","",,"Partly Cloudy","0.00","56°","44°"
"7","http://www.wunderground.com/history/airport/KSFO/2012/1/7/DailyHistory.html","",,"Scattered Clouds","0.00","64°","41°"
"8","http://www.wunderground.com/history/airport/KSFO/2012/1/8/DailyHistory.html","",,"Scattered Clouds","0.00","65°","46°"
"9","http://www.wunderground.com/history/airport/KSFO/2012/1/9/DailyHistory.html","",,"Scattered Clouds","0.00","60°","41°"
"10","http://www.wunderground.com/history/airport/KSFO/2012/1/10/DailyHistory.html","",,"Partly Cloudy","0.00","59°","40°"
"11","http://www.wunderground.com/history/airport/KSFO/2012/1/11/DailyHistory.html","",,"Scattered Clouds","0.00","65°","39°"
"12","http://www.wunderground.com/history/airport/KSFO/2012/1/12/DailyHistory.html","",,"Clear","0.00","63°","40°"
"13","http://www.wunderground.com/history/airport/KSFO/2012/1/13/DailyHistory.html","",,"Scattered Clouds","0.00","62°","40°"
"14","http://www.wunderground.com/history/airport/KSFO/2012/1/14/DailyHistory.html","",,"Scattered Clouds","0.00","60°","40°"
"15","http://www.wunderground.com/history/airport/KSFO/2012/1/15/DailyHistory.html","",,"Partly Cloudy","0.00","52°","44°"
"16","http://www.wunderground.com/history/airport/KSFO/2012/1/16/DailyHistory.html","",,"Clear","0.00","50°","35°"
"17","http://www.wunderground.com/history/airport/KSFO/2012/1/17/DailyHistory.html","",,"Partly Cloudy","0.00","51°","34°"
"18","http://www.wunderground.com/history/airport/KSFO/2012/1/18/DailyHistory.html","",,"Partly Cloudy","0.00","53°","35°"
"19","http://www.wunderground.com/history/airport/KSFO/2012/1/19/DailyHistory.html","",,"Rain","0.08","52°","38°"
"20","http://www.wunderground.com/history/airport/KSFO/2012/1/20/DailyHistory.html","",,"Rain","1.22","59°","49°"
"21","http://www.wunderground.com/history/airport/KSFO/2012/1/21/DailyHistory.html","",,"Rain","0.08","57°","45°"
"22","http://www.wunderground.com/history/airport/KSFO/2012/1/22/DailyHistory.html","",,"Rain","0.29","53°","44°"
"23","http://www.wunderground.com/history/airport/KSFO/2012/1/23/DailyHistory.html","",,"Rain","0.49","57°","49°"
"24","http://www.wunderground.com/history/airport/KSFO/2012/1/24/DailyHistory.html","",,"Partly Cloudy","0.00","58°","46°"
"25","http://www.wunderground.com/history/airport/KSFO/2012/1/25/DailyHistory.html","",,"Fog","0.00","61°","49°"
"26","http://www.wunderground.com/history/airport/KSFO/2012/1/26/DailyHistory.html","",,"Fog","0.00","60°","50°"
"27","http://www.wunderground.com/history/airport/KSFO/2012/1/27/DailyHistory.html","",,"Fog","0.00","65°","46°"
"28","http://www.wunderground.com/history/airport/KSFO/2012/1/28/DailyHistory.html","",,"Scattered Clouds","0.00","61°","40°"
"29","http://www.wunderground.com/history/airport/KSFO/2012/1/29/DailyHistory.html","",,"Partly Cloudy","0.00","60°","43°"
"30","http://www.wunderground.com/history/airport/KSFO/2012/1/30/DailyHistory.html","",,"Partly Cloudy","T","56°","49°"
"31","http://www.wunderground.com/history/airport/KSFO/2012/1/31/DailyHistory.html","",,"Mostly Cloudy","T","57°","45°"
