"day.text","day.href","desc.text","desc.src","desc.alt","precip","high","low"
"1","http://www.wunderground.com/history/airport/KSFO/2012/7/1/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","68°","58°"
"2","http://www.wunderground.com/history/airport/KSFO/2012/7/2/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","67°","55°"
"3","http://www.wunderground.com/history/airport/KSFO/2012/7/3/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","69°","55°"
"4","http://www.wunderground.com/history/airport/KSFO/2012/7/4/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","72°","54°"
"5","http://www.wunderground.com/history/airport/KSFO/2012/7/5/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","65°","55°"
"6","http://www.wunderground.com/history/airport/KSFO/2012/7/6/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","68°","55°"
"7","http://www.wunderground.com/history/airport/KSFO/2012/7/7/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","75°","53°"
"8","http://www.wunderground.com/history/airport/KSFO/2012/7/8/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","64°","53°"
"9","http://www.wunderground.com/history/airport/KSFO/2012/7/9/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","65°","53°"
"10","http://www.wunderground.com/history/airport/KSFO/2012/7/10/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","74°","51°"
"11","http://www.wunderground.com/history/airport/KSFO/2012/7/11/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","77°","52°"
"12","http://www.wunderground.com/history/airport/KSFO/2012/7/12/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","66°","53°"
"13","http://www.wunderground.com/history/airport/KSFO/2012/7/13/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","63°","53°"
"14","http://www.wunderground.com/history/airport/KSFO/2012/7/14/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","69°","54°"
"15","http://www.wunderground.com/history/airport/KSFO/2012/7/15/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","69°","54°"
"16","http://www.wunderground.com/history/airport/KSFO/2012/7/16/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","T","66°","56°"
"17","http://www.wunderground.com/history/airport/KSFO/2012/7/17/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","70°","57°"
"18","http://www.wunderground.com/history/airport/KSFO/2012/7/18/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","68°","57°"
"19","http://www.wunderground.com/history/airport/KSFO/2012/7/19/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","71°","55°"
"20","http://www.wunderground.com/history/airport/KSFO/2012/7/20/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","71°","57°"
"21","http://www.wunderground.com/history/airport/KSFO/2012/7/21/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","82°","56°"
"22","http://www.wunderground.com/history/airport/KSFO/2012/7/22/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","71°","54°"
"23","http://www.wunderground.com/history/airport/KSFO/2012/7/23/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","74°","56°"
"24","http://www.wunderground.com/history/airport/KSFO/2012/7/24/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","74°","58°"
"25","http://www.wunderground.com/history/airport/KSFO/2012/7/25/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","72°","57°"
"26","http://www.wunderground.com/history/airport/KSFO/2012/7/26/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","70°","56°"
"27","http://www.wunderground.com/history/airport/KSFO/2012/7/27/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","72°","55°"
"28","http://www.wunderground.com/history/airport/KSFO/2012/7/28/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","66°","54°"
"29","http://www.wunderground.com/history/airport/KSFO/2012/7/29/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","70°","54°"
"30","http://www.wunderground.com/history/airport/KSFO/2012/7/30/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","76°","54°"
"31","http://www.wunderground.com/history/airport/KSFO/2012/7/31/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","68°","55°"
